packet_count,byte_count,flow_duration,connection_count,request_frequency,failed_connection_count,source_port,destination_port,protocol,direction,device_id,source_ip,destination_ip,threat_label
5,5124,3.2406856691239003,59,81.56744139509244,148,34403,1100,TCP,outbound,1,10.20.4.30,198.51.100.20,Port Scan
11855,23175171,375.91442375696255,21,22.361004551865626,3,40495,443,TCP,outbound,7,10.20.4.40,198.51.100.29,Data Exfiltration
47,92694,67.14917074595039,89,34.87667853228416,133,5164,22,TCP,outbound,6,10.20.4.20,198.51.100.21,Brute Force
20,5736,6.866503777941157,342,84.07323708181279,121,10669,597,TCP,outbound,10,10.20.4.40,198.51.100.21,Port Scan
96,36341,12.226153986652474,94,11.726090898558764,91,59515,21,TCP,outbound,12,10.20.1.10,198.51.100.15,Brute Force
7131,11627226,811.714791085681,16,3.577180724347381,4,25428,8080,TCP,outbound,3,10.20.2.40,198.51.100.16,Data Exfiltration
91,80844,62.49726372858874,41,15.638748674251364,18,46737,21,TCP,outbound,8,10.20.2.40,198.51.100.25,Brute Force
9128,3186211,62.30304205306917,627,537.2851567229427,29,9709,53,TCP,inbound,5,10.20.1.30,198.51.100.22,DDoS
42,22749,53.65496538775242,120,5.959481424574765,144,33034,23,TCP,outbound,10,10.20.4.10,198.51.100.23,Brute Force
5463,49540283,749.1111900107045,13,18.78694910625489,1,30128,8443,TCP,outbound,1,10.20.1.30,198.51.100.23,Data Exfiltration
16181,3845132,70.09452237271108,959,634.0174412336081,10,9364,8443,TCP,inbound,2,10.20.3.20,198.51.100.24,DDoS
18,16263,2.7345245686857624,101,97.97133011348673,172,28068,1278,TCP,outbound,12,10.20.1.30,198.51.100.29,Port Scan
816,1165490,154.92816500719522,7,5.245399574896518,0,26210,8080,TCP,outbound,4,10.20.2.40,198.51.100.18,Normal
19380,17340229,17.148638192578947,420,520.8728512517878,16,33175,8443,UDP,inbound,12,10.20.2.40,198.51.100.19,DDoS
3525,21621523,27.34396207101162,1729,759.8469153573382,74,45068,53,UDP,inbound,2,10.20.2.40,198.51.100.26,DDoS
44,39621,29.023864702208748,103,21.907793671867395,117,60501,22,TCP,outbound,6,10.20.4.40,198.51.100.15,Brute Force
10,13290,1.8532452799187664,22,98.33522095982842,335,6757,175,TCP,outbound,8,10.20.4.40,198.51.100.12,Port Scan
29,13461,10.619009479012526,299,87.270875722044,105,32853,145,TCP,outbound,7,10.20.2.30,198.51.100.29,Port Scan
1677,668870,281.19869398327575,7,8.513789847356339,1,9230,53,TCP,outbound,4,10.20.3.40,198.51.100.17,Normal
4404,29588334,423.7279052152575,17,4.659599669143175,0,12096,8443,TCP,outbound,6,10.20.2.30,198.51.100.24,Data Exfiltration
5952,58525385,2052.829361357765,19,19.245502811044158,2,53274,8443,TCP,outbound,1,10.20.4.30,198.51.100.13,Data Exfiltration
703,893322,306.4400731993759,1,12.997141984190018,0,16984,123,TCP,outbound,1,10.20.4.30,198.51.100.16,Normal
7,4771,9.033037134326374,312,73.24495242329662,72,29891,812,TCP,outbound,12,10.20.4.30,198.51.100.24,Port Scan
6775,79462843,953.1050221562793,14,20.759649640959825,0,3420,8080,UDP,outbound,12,10.20.1.30,198.51.100.13,Data Exfiltration
81,82600,22.89583944160408,169,13.193291233084382,68,63915,23,TCP,outbound,8,10.20.4.10,198.51.100.27,Brute Force
29,4063,8.981988124248176,71,39.27367259898207,305,16956,1637,TCP,outbound,8,10.20.4.20,198.51.100.10,Port Scan
57,60899,9.492127897858836,87,11.291087017938592,53,3360,23,TCP,outbound,5,10.20.1.10,198.51.100.18,Brute Force
2865,59313977,496.5812451989113,1,8.93107717535161,4,36077,8443,TCP,outbound,5,10.20.1.20,198.51.100.26,Data Exfiltration
18971,6500573,55.01699924239656,856,212.3361332686951,5,45526,80,TCP,inbound,7,10.20.2.20,198.51.100.24,DDoS
5307,6235751,253.63332839747082,6,8.78809053993978,1,4651,22,TCP,outbound,7,10.20.2.10,198.51.100.26,Data Exfiltration
1050,494560,290.79441464192774,3,2.865965462886271,1,54578,46388,UDP,outbound,6,10.20.1.20,198.51.100.24,Normal
25208,8506786,59.23365374242024,1489,830.1753084963224,28,19473,53,UDP,inbound,3,10.20.4.10,198.51.100.16,DDoS
9981,79162281,538.5390809651648,18,5.400590899493349,2,35365,8080,TCP,outbound,2,10.20.4.30,198.51.100.28,Data Exfiltration
4,49944,79.78773846423546,169,8.563465179560957,40,33947,21,TCP,outbound,7,10.20.3.30,198.51.100.24,Brute Force
21315,381554,55.77344054882571,1504,871.2582289292521,47,51242,53,UDP,inbound,10,10.20.1.20,198.51.100.20,DDoS
130,84669,30.33225547539275,119,23.669602284008437,121,2140,21,TCP,outbound,9,10.20.2.40,198.51.100.14,Brute Force
